common_name,scientific_name,species_group,esa_status,foreign_or_domestic,image_url,image_url_full,location,country,food,habitat_requirements,home_range,cause,reproduction,description,status_code
Mariana mallard,Anas oustaleti,Birds,Extinction,Domestic,/docs/species_images/doc1616.jpg,https://ecos.fws.gov/docs/species_images/doc1616.jpg,,United States,No information available,No information available,No information available,No information available,No information available,No information available,200
Common tern,Sterna hirundo,Birds,Species of Concern,Both Domestic and Foreign,/docs/species_images/doc5448.jpg,https://ecos.fws.gov/docs/species_images/doc5448.jpg,"POLYGON((-97.2392536706204 36.9702997382424,-97.2392536706204 49.3843602898955,-71.7774924561119 49.3843602898955,-71.7774924561119 36.9702997382424,-97.2392536706204 36.9702997382424))",Canada,No information available,No information available,No information available,No information available,No information available,No information available,200
Comanche Springs pupfish,Cyprinodon elegans,Fishes,Endangered,Domestic,/docs/species_images/doc4865.jpg,https://ecos.fws.gov/docs/species_images/doc4865.jpg,"POLYGON((-104.979563322035 30.4121916677022,-104.979563322035 32.0001346666874,-103.010880011773 32.0001346666874,-103.010880011773 30.4121916677022,-104.979563322035 30.4121916677022))",United States,No information available,No information available,No information available,No information available,No information available,No information available,200
Comanche-peak prairie-clover,Dalea reverchonii,Flowering Plants,Species of Concern,Domestic,/docs/species_images/doc4781.JPG,https://ecos.fws.gov/docs/species_images/doc4781.JPG,"POLYGON((-106.645645745155 25.8381482598344,-106.645645745155 33.4340966655617,-93.5081311601249 33.4340966655617,-93.5081311601249 25.8381482598344,-106.645645745155 25.8381482598344))",United States,No information available,"Shallow calcareous clay to sandy clay soils over limestone in grasslands or openings in post oak woodlands, often among sparse vegetation in barren exposed sites.","Counties:  Bosque, Erath, Hood, Johnson, Parker, Somervell, Tarrant, and Wise.","Smooth foliage; loose, open, ball-shaped to elongate flowering spikes.  The outer whorl of protective leaves (sepals) of the flower have closely appressed hairs.",Flowers April to June.,"The Comanche Peak prairie clover is a globally rare member of the legume family, restricted to limestone glades, and is endemic to just a few counties in north central Texas (Bosque, Erath, Hood, Johnson, Parker, Somervell, Tarrant, and Wise counties). Comanche Peak prairie clover is known for single populations in Bosque, Hood, Johnson, and Somervelle Counties and two populations in Erath County. The majority of the populations of Comanche Peak prairie clover center on Weatherford, Texas in Parker County and a small area southeast of Decatur, Texas in Wise county. There are many threats to this plant which include urban sprawl, land fragmentation, mining, and herbivory.",200
Columbian white-tailed deer,Odocoileus virginianus leucurus,Mammals,Threatened,Domestic,/docs/species_images/doc4981.jpg,https://ecos.fws.gov/docs/species_images/doc4981.jpg,"POLYGON((-123.728337267544 42.8748207590001,-123.728337267544 46.3880496669924,-122.239916048564 46.3880496669924,-122.239916048564 42.8748207590001,-123.728337267544 42.8748207590001))",United States,No information available,No information available,No information available,No information available,No information available,"White-tailed deer are generally distinguished from mule or black-tailed deer by their longer tail that is brown rather than black on the dorsal surface, a smaller metatarsal gland, and, in adult males, antlers with prongs arising from a single main beam. The Columbian white-tail is one of the large subspecies with ""antlers narrowly spreading and curving steeply upward; upperparts dull in general tone, with grizzled pattern approaching Sayal Brown; top of head grizzled, the individual hairs near Mars Brown with buffy tips; tail varying from Cinnamon Buff to Tawny dorsally, terminating in a small, partially concealed, subterminal patch, and broadly fringed with white above and pure white to tip below; outer and more exposed surfaces of legs to base of hoofs near Sayal Brown."" The Columbian white-tailed deer (Odocoileus virginianus leucurus) is one of 38 recognized subspecies of O. virginianus.",200
Columbia Basin Pygmy Rabbit,Brachylagus idahoensis,Mammals,Endangered,Domestic,/docs/species_images/doc3635.jpg,https://ecos.fws.gov/docs/species_images/doc3635.jpg,"POLYGON((-120.318103961961 45.8359500273889,-120.318103961961 48.1510427765161,-117.819426667131 48.1510427765161,-117.819426667131 45.8359500273889,-120.318103961961 45.8359500273889))",United States,No information available,No information available,No information available,No information available,No information available,"The Pygmy Rabbit, Brachylagus idahoensis, is smallest species of rabbit in North American, and is one of only two rabbit species in North America to dig its own burrow. The Pygmy Rabbit differs significantly from species within either the Lepus or Sylvilagus genera and is generally considered to be within the monotypic genus Brachylagus. ",200
Colorado pikeminnow (=squawfish),Ptychocheilus lucius,Fishes,Endangered,Domestic,/docs/species_images/doc6059.jpg,https://ecos.fws.gov/docs/species_images/doc6059.jpg,"POLYGON((-117.802879996679 32.5049276664466,-117.802879996679 43.4522002139382,-105.626226381347 43.4522002139382,-105.626226381347 32.5049276664466,-117.802879996679 32.5049276664466))",United States,No information available,No information available,No information available,No information available,No information available,No information available,200
Colorado hookless Cactus,Sclerocactus glaucus,Flowering Plants,Threatened,Domestic,/docs/species_images/doc5085.jpg,https://ecos.fws.gov/docs/species_images/doc5085.jpg,"POLYGON((-108.62501 38.49999,-108.62501 39.562511,-107.687489 39.562511,-107.687489 38.49999,-108.62501 38.49999))",United States,No information available,"Populations of Colorado hookless cactus occur primarily on alluvial benches (soils deposited by water) along the Colorado and Gunnison Rivers and their tributaries. Colorado hookless cactus generally occurs on gravelly or rocky surfaces on river terrace deposits and lower mesa slopes.  Exposures vary, but Colorado hookless cactus is more abundant on south-facing slopes (Colorado Natural Heritage Program. Soils are usually coarse, gravelly river alluvium above the river flood plains, usually consisting of Mancos shale with volcanic cobbles and pebbles on the surface.  Elevations range from 3,900 to 6,000 feet (ft) (1,400 to 2,000 meters (m)) (Heil and Porter 2004). Associated desert shrubland vegetation includes shadscale (Atriplex confertifolia), galleta grass (Pleuraphis jamesii), black-sage (Artemisia nova), and Indian rice grass (Achnatherum hymenoides).  Populations also exist in big sagebrush (Artemisia tridentata) dominated sites and in the transition zone from sagebrush to pinyon-juniper (Pinus edulis and Juniperus osteosperma) communities. ","Distribution, Abundance, and Trends:  Colorado hookless cactus is an endemic plant found in Delta, Montrose, Mesa, and Garfield Counties, Colorado.  There are two population centers of Colorado hookless cactus:  (1) on alluvial river terraces of the Gunnison River from near Delta, Colorado, to southern Mesa County, Colorado; and (2) on alluvial river terraces of the Colorado River and in the Plateau and Roan Creek drainages in the vicinity of DeBeque, Colorado.  These populations may be morphologically and genetically discrete from each other.  Introgression with S. parviflorus may play a role in these differences.  This issue is being researched by the Denver Botanic Gardens.",No information available,"Pollination is likely carried out by a broad assemblage of native bees and other insects, including ants and beetles.","The Colorado hookless cactus is a barrel shaped cactus that ranges from 1.2 to 4.8 inches (in.) (3 to 12 centimeters (cm)) tall, with exceptional plants up to 12 in. (30 cm) tall.  Stems range from 1.6 to 3.6 in. (4 to 9 cm) in diameter.  The stems have 8 to 15 (typically 12 or 13) ribs that extend from the ground to the tip of the plant.  Along the ribs are areoles (small, cushion-like areas) with hooked spines radiating out (Heil and Porter 2004).  There are two types of spines, radial and central, defined by the size and position on the plant (see Figure 1) (74 FR 47112, September 15, 2009).  The 2 to 12 radial spines are located around the margin of the areole, extending in a plane parallel to the body of the plant.  The radial spines are white or gray to light brown. They are up to 0.67 in. (17 millimeters (mm)) long, and less than 0.04 in. (1 mm) in diameter.  The one to five central spines (usually three) are 0.5 to 2.0 in. (12 to 50 mm) long, are generally longer than radial spines, and extend from the center of the areole.  The central spines include abaxial and lateral forms.  Abaxial spines are typically single, point toward the top of the plant, and are noticeably bent at the tip at an angle usually less than 90 degrees.  Lateral spines are usually present in pairs on either side of the abaxial spine, but are more or less straight and diverge from the abaxial spine at an acute angle (usually 20 to 50 degrees).The flowers are usually funnel-shaped, but sometimes bell-shaped.  They usually have pink to violet tepals (petal-like flower parts not differentiated into petals and sepals) with yellow stamens (the male reproductive organ of the flower), and are 1.2 to 2.4 in. (3 to 6 cm) long and 1.2 to 2 in. (3 to 5 cm) in diameter.  The fruit is short, barrel-shaped 0.31 to 0.47 in. (8 to 12 mm) wide, and 0.35 to 1.2 in. (9 to 30 mm) long.",200
Cobana negra,Stahlia monosperma,Flowering Plants,Threatened,Both Domestic and Foreign,/docs/species_images/doc4499.bmp,https://ecos.fws.gov/docs/species_images/doc4499.bmp,"POLYGON((-67.9541550332996 17.9130054913122,-67.9541550332996 18.4718245207677,-65.2673195111881 18.4718245207677,-65.2673195111881 17.9130054913122,-67.9541550332996 17.9130054913122))",United States,No information available,No information available,No information available,No information available,No information available,No information available,200
Coachella Valley fringe-toed lizard,Uma inornata,Reptiles,Threatened,Domestic,/docs/species_images/doc4953.jpg,https://ecos.fws.gov/docs/species_images/doc4953.jpg,"POLYGON((-116.750860191247 33.5000181908872,-116.750860191247 34.0000219667621,-116.125826537773 34.0000219667621,-116.125826537773 33.5000181908872,-116.750860191247 33.5000181908872))",United States,No information available,No information available,No information available,No information available,No information available,"These lizards have several specialized adaptations: elongated scales on their hind feet (""fringes"") for added traction in loose sand, a shovel-shaped head and a lower jaw adapted to aid diving into and moving short distances beneath the sand, elongated scales covering their ears to keep sand out, and unique morphology (form or structure) of internal nostrils that allows them to breathe below the sand without inhaling sand particles.",200
Clubshell,Pleurobema clava,Clams,Endangered,Domestic,/docs/species_images/doc3761.jpg,https://ecos.fws.gov/docs/species_images/doc3761.jpg,"POLYGON((-89.1825293288936 34.9222795715637,-89.1825293288936 42.5160822187258,-77.9835921765661 42.5160822187258,-77.9835921765661 34.9222795715637,-89.1825293288936 34.9222795715637))",United States,No information available,No information available,No information available,No information available,No information available,"The clubshell is a small to medium size (up to 3 inches long) freshwater mussel that was listed as endangered, without critical habitat, in 1993 (58 FR 5638-5642). Its shell exterior is yellow to brown with bright green blotchy rays and shell interior is typically white. The shell is wedge shaped and solid, with a pointed and fairly high umbo.",200
Clay phacelia,Phacelia argillacea,Flowering Plants,Endangered,Domestic,/docs/species_images/doc4020.jpg,https://ecos.fws.gov/docs/species_images/doc4020.jpg,"POLYGON((-111.493239396996 39.7398349093299,-111.493239396996 40.0305621597075,-110.956124543448 40.0305621597075,-110.956124543448 39.7398349093299,-111.493239396996 39.7398349093299))",United States,No information available,"This plant grows at elevations ranging from 6,000-7,000 feet (1,830-2,135 m).  Clay phacelia is found on steep hillsides of shaley clay colluvium on an extremely limited band of soil derived from an upper member of the Green River geologic formation called Green River Shale in Utah County, Utah (USFWS 1994). Populations of the species grow on different soil types along the railroad that bisects the habitat. The plants east of the railroad grow mainly on a finely- textured clay derived from a poorly consolidated shale member of the formation. Those from west of the railroad grow on a platey slope. Occupied soils averaged about 1/3 clay, 1/3 silt, and 1/3 sand, and are generally covered with pebble fragments or flat slabs of lithified shale (Armstrong 1992). All soils where Clay phacelia occurs are basic, with pH ranging from 7.7- 7.9 for the occupied sites (Armstrong 1992). Concentrations of boron, zinc, manganese, and magnesium were higher at sites occupied by Clay phacelia than at unoccupied sites. Concentrations of sodium were higher at unoccupied sites than at occupied sites, suggesting an aversion to high salt soils (Armstrong 1992).  

Occupied sites are xeric due to the steepness of the slopes and southeast- to west-facing aspects. Most precipitation is in the form of snowfall during the winter months and spring rains through April of each year (Armstrong 1992). ",No information available,"Associated vegetation includes sparse pinyon-juniper or mountain brush communities (Armstrong 1992, USDA 1999). Associated species include the yellow-flowered buckwheat (Eriogonum brevicaule), Amelanchier alnifolia (Nutt.) Nutt. (serviceberry), Quercus gambelii Nutt. (Gambel oak), Stipa hymenoides (Indian ricegrass), and houndstongue (Cynoglossum officinale). Clay phacelia does not do well in competition with other vegetation, and the actively eroding shale slopes where this species occurs likely discourages competitors (Aanderud and Harper 1997; USDA 1999). Additional associated vegetative cover include sparse stands of pinyon-juniper (Pinus edulis-Juniperus osteosperma) or mountain brush (Amelanchier alnifolia-Cercocarpus montanus-Rhus aromatica) (Armstrong 1992). ","Germination for Clay phacelia takes place in late summer or early autumn, stimulated by late summer or early autumn storms. Initial foliage leaves are small, but by early to mid-October they have formed into basal rosettes from 0.4 to 2.8 inches (1 to 7 centimeters (cm)) in width.  Rosettes grow slowly under the snow, and bolt only after the snow melts the soil and air temperatures increase significantly in May (Service 1982).  The first of the seasons flowers begin opening by late May, and full blooming is reached in late June or early July.  Plant size appears to be a function of available soil moisture.  As the size of the plant increases, the number of flowers displayed becomes greater.  Spring and summer precipitation is necessary to allow plants to continue flowering through the summer and into autumn, with the last of the seasons flowers observed in mid-October (Service 1982).  Clay phacelia has the capacity of developing four mature seeds per fruit and can be a very prolific seeder (Bellagamba 2000). 

Pollination studies on the breeding system of the plants suggest the plants are obligate outcrossers (Smith et al. 1989) that require insect pollinators. Observations suggest that Clay phacelia is most likely not pollinator limited (Tepedino 2000). The following native bee species may be Clay phacelia pollinators: Dialictus perdifficilis, D. sedi, Evylaeus pulveris, Andrena walleye, A. pronorum and Halictus rubicundus (USFWS 1994; Tepedino 2000). These species are small to medium-sized, mostly solitary bees (Bartlett et al. 2008; DiTerlizzi et al. 2008) and have been seen in the vicinity of Clay phacelia.","Clay phacelia has blue to violet flowers and stands 4-14 inches (1-3.6 decimeters (dm)) tall.  Germination occurs in late summer and early autumn, and basal rosettes form in October.  Clay phacelia was formerly considered a winter annual but new data supports the idea that Clay phacelia is instead a true biennial (Meyer 2011). The life history of a biennial includes seedling emergence in the spring, growth of a rosette in the summer, vernalization   during the following winter, and flowering, seed set, and death the second summer (Meyer 2011). ",200
Clay-Loving wild buckwheat,Eriogonum pelinophilum,Flowering Plants,Endangered,Domestic,/docs/species_images/doc5055.jpg,https://ecos.fws.gov/docs/species_images/doc5055.jpg,"POLYGON((-108.283770346233 38.3345376050177,-108.283770346233 38.8565845440966,-107.588506301791 38.8565845440966,-107.588506301791 38.3345376050177,-108.283770346233 38.3345376050177))",United States,No information available,"The Delta/Montrose area is dry, receiving an average of 8 to 9 inches (20 to 23 centimeters of precipitation a year. The soils where clay-loving wild buckwheat is found are described as whitish, alkaline (with a pH over 7), clay soils of the Mancos shale formation, a Cretaceous marine sediment formation.  Mancos shale outcrops are relatively barren of vegetation in comparison to surrounding areas.  Several components of the clay soils of the Mancos shale limit plant growth: soils are fine-textured and lose moisture more readily; clay soils are compactable which limits gas exchange and thus root growth; clay soils hold more water which is unavailable for plant use; water infiltration is slow; and the extreme swelling and shrinking of the soils limits water availability and oxygen exchange for plant roots.  In addition, the soils are calcareous (containing calcium carbonate) with high pH values making for difficult growing conditions.
Clay-loving wild buckwheat plants are generally found within swales or drainages that are moister than surrounding areas.  Plant communities associated with Clay-loving wild buckwheat are characterized by low species diversity, low productivity, and minimal canopy cover.  The associated vegetation is sparse, with clay-loving wild buckwheat generally one of the dominant species.  In lower elevations near Delta, the dominant plant species is Atriplex corrugata (mat saltbrush), but at higher elevations near Montrose the dominant plant species is Artemesia nova (black sagebrush), although A. corrugata is still abundant.  Other associated species include Atriplex confertifolia (shadscale), A. gardneri (Gardners saltbush), Picrothamnus desertorum (formerly Artemisia spinescens) (bud sagebrush), Xylorhiza venusta (charming woodyaster), and another local endemic Penstemon retrorsus (Adobe Hills beardtongue).","Clay-loving wild buckwheat is endemic to the rolling clay (adobe) hills and flats immediately adjacent to the communities of Delta and Montrose, Colorado.  The plants extend from near Lazear, east of Delta on the northern end of the species range, to the southeastern edge of Montrose in Delta and Montrose Counties, Colorado, and occurs from 5,180 to 6,350 feet (1,579 to 1,965 meters) in elevation.  When a rectangle is drawn around all known occurrences, it measures roughly 11.5 miles (18.5 kilometers) from east to west and 28.5 miles (46 kilometers) from north to south.",No information available,"Clay-loving wild buckwheat is very long-lived.  Flowering typically occurs from late May to early September with individual flowers lasting fewer than 3 days. Clay-loving wild buckwheat requires a pollinator, and for much of the flowering season is the most abundant species in bloom in its habitat. Over 50 species of insects visit clay-loving wild buckwheat flowers.  Roughly half of these 50 species are native bees, and 18 species are native ants.  In one study, seed set was similar between plants that were pollinated by ants versus flying pollinators, suggesting the importance of ants to pollination of the species.  Some fruits are removed by harvester ants; however, no information is available for the species on seed dispersal mechanisms.
","Clay-loving wild buckwheat is a low growing, rounded, densely branched subshrub in the buckwheat family (Polygonaceae).  It has dark green leaves that roll inward and appear needle-like.  Though it only grows 6 to 8 inches tall, it is known to live for more than 18 years.  Its small white to cream colored flowers with pink veins are are clustered at the end of each branch.  Clay-loving wild buckwheat can be found in bloom from late May to early September.   

Clay-loving wild buckwheat is endemic to the rolling clay (adobe) hills and flats immediately adjacent to the communities of Delta and Montrose, Colorado.   These white alkaline clay barrens are derived from the Mancos Shale Formation, deposits from an ancient inland sea.  These barrens are inhospitable to only but the most adapted species.  Species found in association with the clay-loving wild buckwheat include mat saltbrush, black sagebrush, shadscale, and Adobe Hills beardtongue, another local endemic.  The unique soils that support clay-loving wild buckwheat populations are limited in their distribution.  This means that the clay-loving wild buckwheat is also limited in habitat.  

Clay-loving wild buckwheat was listed as an endangered species in 1984 because of the extremely limited range of its habitat and the high risk of habitat loss.  Increasing urban, residential, and agricultural development in the region poses to irreversible alter the habitat they rely on to survive.  Additionally, a major indirect effects of habitat conversion is the loss of the diversity of insect pollinators vital to the species reproduction.   On public lands, Off-Highway Vehicle (OHV) recreation and grazing can also have significant impacts to the species These activities can cause direct loss of plants and habitat, as well as have indirect negative affects to the species from changes in pollinator communities, habitat, and hydrology, fragmentation of populations.  Over 50 species of insects (including bees, ants, and beetles) have been found to visit clay-loving wild buckwheat.  In these barren landscapes where few resources are present, plants such as the clay-loving wild buckwheat can be important in sustaining an ecosystem. Much of these populations (40%) occur on private lands.

",200
Callippe silverspot butterfly,Speyeria callippe callippe,Insects,Endangered,Domestic,/docs/species_images/doc4945.jpg,https://ecos.fws.gov/docs/species_images/doc4945.jpg,"POLYGON((-127.270456685328 33.213838463974,-127.270456685328 41.1842580794469,-117.801458177053 41.1842580794469,-117.801458177053 33.213838463974,-127.270456685328 33.213838463974))",United States,No information available,No information available,No information available,No information available,No information available,No information available,200
Canada Lynx,Lynx canadensis,Mammals,Threatened,Domestic,/docs/species_images/doc4979.jpg,https://ecos.fws.gov/docs/species_images/doc4979.jpg,"POLYGON((-123.371910993813 35.7542467634857,-123.371910993813 49.3843702832152,-67.4242814164835 49.3843702832152,-67.4242814164835 35.7542467634857,-123.371910993813 35.7542467634857))",United States,"Snowshoe hares are the primary prey of lynx, comprising the bulk of the lynx diet  throughout its range.  Without high densities of snowshoe hares, lynx are unable to sustain populations despite utilizing a multitude of other prey when snowshoe hare numbers are low.  Other prey species include red squirrel (Tamiasciurus hudsonicus), grouse (Bonasa umbellus, Dendragopus spp., Lagopus spp.), flying squirrel (Glaucomys sabrinus), ground squirrel (Spermophilus parryii, S. Richardsonii), porcupine (Erethrizon dorsatum), beaver (Castor canadensis), mice (Peromyscus spp.), voles (Microtus spp.), shrews (Sorex spp.), fish. Ungulate carrion may also be consumed.","Lynx habitat can generally be described as moist boreal forests that have cold, snowy winters and a high-density snowshoe hare prey base.  The predominant vegetation of boreal forest is conifer trees, primarily species of spruce (Picea spp.) and fir (Abies spp.).  In the contiguous United States, the boreal forest type transitions to deciduous temperate forest in the Northeast and Great Lakes, and to subalpine forest in the west.  In mountainous areas, the boreal forests that lynx use are characterized by scattered moist forest types with high hare densities in a matrix of other habitats (e.g., hardwoods, dry forest, non-forest) with low hare densities.  In these areas, lynx incorporate the matrix habitat (non-boreal forest habitat elements) into their home ranges and use it for traveling between patches of boreal forest that support high hare densities where most foraging occurs.","Individual lynx maintain large home ranges generally between 12 to 83 square miles.  The size of lynx home ranges varies depending on abundance of prey, the animals gender and age, season, and the density of lynx populations.  When densities of snowshoe hares decline, for example, lynx enlarge their home ranges to obtain sufficient amounts of food to survive and reproduce.  Lynx also make long distance exploratory movements outside their home ranges.  Preliminary research supports the hypothesis that lynx home ranges at the southern extent of the species range are generally large compared to those in the core of the range in Canada, indicating a relative reduction of food resources in these areas.","In all regions within the range of the lynx in the contiguous United States, timber harvest, recreation, and their related activities are the predominant land uses affecting lynx habitat.  The primary factor that caused the lynx to be listed was the lack of guidance for the conservation of lynx and snowshoe hare habitat in plans for federally managed lands.  Landscape connectivity between lynx populations and habitats in Canada and the contiguous United States must be maintained.  Lynx movements may be negatively affected by high traffic volume on roads that bisect suitable lynx habitat, such as in the Southern Rockies, and in some areas, mortalities due to road kill are high.

","Breeding occurs through March and April in the north.  Kittens are born in May to June in southcentral Yukon.  The male lynx does not help with rearing young.  Yearling females may give birth during periods when hares are abundant. During periods of hare abundance in the northern taiga, litter size of adult females averages four to five kittens.  Litter sizes are typically smaller in lynx populations in the contiguous United States.","The lynx is a medium-sized cat with long legs, large, well-furred paws, long tufts on the ears, and a short, black-tipped tail.  The winter pelage of the lynx is dense and has a grizzled appearance with grayish-brown mixed with buff or pale brown fur on the back, and grayish-white or buff-white fur on the belly, legs and feet.  Summer pelage of the lynx is more reddish to gray-brown.  Adult males average 10 kilograms (22 pounds) in weight and 85 centimeters (33.5 inches) in length (head to tail), and females average 8.5 kilograms (19 pounds) and 82 centimeters (32 inches).  The lynxs long legs and large feet make it highly adapted for hunting in deep snow.

The distribution of lynx in North America is closely associated with the distribution of North American boreal forest.  In Canada and Alaska, lynx inhabit the classic boreal forest ecosystem known as the taiga.  The range of lynx populations extends south from the classic boreal forest zone into the subalpine forest of the western United States, and the boreal/hardwood forest ecotone in the eastern United States.  Forests with boreal features extend south into the contiguous United States along the North Cascade and Rocky Mountain Ranges in the west, the western Great Lakes Region, and northern Maine.  Within these general forest types, lynx are most likely to persist in areas that receive deep snow and have high-density populations of snowshoe hares, the principal prey of lynx.
",200
Canby's dropwort,Oxypolis canbyi,Flowering Plants,Endangered,Domestic,/docs/species_images/doc4603.jpg,https://ecos.fws.gov/docs/species_images/doc4603.jpg,"POLYGON((-84.6034329884122 31.4349950280408,-84.6034329884122 39.25001,-75.74999 39.25001,-75.74999 31.4349950280408,-84.6034329884122 31.4349950280408))",United States,No information available,No information available,No information available,No information available,No information available,No information available,200
Candy darter,Etheostoma osburni,Fishes,Endangered,Domestic,/docs/species_images/doc5123.jpg,https://ecos.fws.gov/docs/species_images/doc5123.jpg,"POLYGON((-83.6754133976102 36.540739287788,-83.6754133976102 39.4660118691525,-75.1664403542389 39.4660118691525,-75.1664403542389 36.540739287788,-83.6754133976102 36.540739287788))",United States,No information available,No information available,No information available,No information available,No information available,"The candy darter is a small, freshwater fish endemic to 2nd order and larger streams and rivers within portions of the upper Kanawha River basin, which is synonymous with the Gauley and greater New River watersheds in Virginia and West Virginia.",200
Cape Sable seaside sparrow,Ammodramus maritimus mirabilis,Birds,Endangered,Domestic,/docs/species_images/doc5035.jpg,https://ecos.fws.gov/docs/species_images/doc5035.jpg,"POLYGON((-82.9874883330579 24.3962976760552,-82.9874883330579 26.5170790000542,-80.0427460335873 26.5170790000542,-80.0427460335873 24.3962976760552,-82.9874883330579 24.3962976760552))",United States,No information available,No information available,No information available,No information available,No information available,"Cape Sable seaside sparrows are small birds about 13 centimeters or 5 inches long. Dorsally, they are dark olive-gray with olive-brown on the tail and wings. The greenish cast on the nape is generally difficult to detect. Ventrally, adults are light gray to almost white with dark olive-gray streaks on the breast and sides. Occasionally, the breast streaks converge forming a diffuse central spot. There is a dark whisker on either side of the white throat. These sparrows have yellow lores, brown eyes, and a gray ear patch behind the eye which is fringed by a dark line. There is a small patch of yellow on the edge of the wing. No sexual differences in the plumages are obvious. 
",200
Carolina heelsplitter,Lasmigona decorata,Clams,Endangered,Domestic,/docs/species_images/doc4494.bmp,https://ecos.fws.gov/docs/species_images/doc4494.bmp,"POLYGON((-82.5947655473753 33.5321414122779,-82.5947655473753 35.5151366383184,-79.4589057097373 35.5151366383184,-79.4589057097373 33.5321414122779,-82.5947655473753 33.5321414122779))",United States,No information available,No information available,No information available,No information available,No information available,No information available,200
Casey's June Beetle,Dinacoma caseyi,Insects,Endangered,Domestic,/docs/species_images/doc5144.jpg,https://ecos.fws.gov/docs/species_images/doc5144.jpg,"POLYGON((-116.563359176047 33.750011441394,-116.563359176047 33.8125289808436,-116.438335618712 33.8125289808436,-116.438335618712 33.750011441394,-116.563359176047 33.750011441394))",United States,No information available,No information available,No information available,No information available,No information available,"Casey's June beetle belongs to the scarab family (Scarabidae). The genus Dinacoma includes two described species, D. caseyi and D. marginata (Blaisdell 1930, pp. 171-176).  The Casey's June beetle was first collected in the City of Palm Springs, California, in 1916, and was later described by Blaisdell (1930, pp. 174-176) based on male specimens. This species measures 0.55 to 0.71 inches (in) (1.4 to 1.8 centimeters (cm)) long, with dusty brown or whitish coloring, and brown and cream longitudinal stripes on the elytra (wing covers and back).
Based on surveys conducted to assess the species' presence, both male and female Casey's June beetles emerge from underground burrows sometime between late March and early June, with abundance peaks generally occurring in April and May (Duff 1990, p. 3; Barrows 1998, p. 1). Females are always observed on the ground and are considered flightless (Duff 1990, p. 4; Frank Hovore and Associates 1995, p. 7; Hovore 2003, p. 3). 
Males are reported to fly back and forth or crawl on the ground where a female 
beetle has been detected (Duff 1990, p. 3). Cornett (2003, p. 5) theorized that after emergence, females remain on the ground and release pheromones to attract flying males. After mating, females return to their burrows or dig a new burrow and deposit eggs.",200
Cherokee darter,Etheostoma scotti,Fishes,Threatened,Domestic,/docs/species_images/doc4496.jpg,https://ecos.fws.gov/docs/species_images/doc4496.jpg,"POLYGON((-84.9914349189588 33.8150523090082,-84.9914349189588 34.6645734074134,-83.9944871458963 34.6645734074134,-83.9944871458963 33.8150523090082,-84.9914349189588 33.8150523090082))",United States,No information available,No information available,No information available,No information available,No information available,No information available,200
Chihuahua chub,Gila nigrescens,Fishes,Threatened,Both Domestic and Foreign,/docs/species_images/doc4894.jpg,https://ecos.fws.gov/docs/species_images/doc4894.jpg,"POLYGON((-109.047522572716 31.8636771998138,-109.047522572716 33.2096660003819,-107.60826320215 33.2096660003819,-107.60826320215 31.8636771998138,-109.047522572716 31.8636771998138))",United States,No information available,No information available,No information available,No information available,No information available,No information available,200
Chittenango ovate amber snail,Succinea chittenangoensis,Snails,Threatened,Domestic,/docs/species_images/doc5959.jpg,https://ecos.fws.gov/docs/species_images/doc5959.jpg,"POLYGON((-75.9949859559775 42.7238243427319,-75.9949859559775 43.1854999920444,-75.2395313334807 43.1854999920444,-75.2395313334807 42.7238243427319,-75.9949859559775 42.7238243427319))",United States,No information available,No information available,No information available,No information available,No information available,No information available,200
Chucky Madtom,Noturus crypticus,Fishes,Endangered,Domestic,/docs/species_images/doc4913.jpg,https://ecos.fws.gov/docs/species_images/doc4913.jpg,"POLYGON((-83.4118980912801 36.0163512662796,-83.4118980912801 36.313475090848,-82.8332724750725 36.313475090848,-82.8332724750725 36.0163512662796,-83.4118980912801 36.0163512662796))",United States,No information available,No information available,No information available,No information available,No information available,No information available,200
Chupacallos,Pleodendron macranthum,Flowering Plants,Endangered,Domestic,/docs/species_images/doc4491.bmp,https://ecos.fws.gov/docs/species_images/doc4491.bmp,"POLYGON((-66.8312243152836 18.1504406690116,-66.8312243152836 18.4947545011261,-65.7485396660731 18.4947545011261,-65.7485396660731 18.1504406690116,-66.8312243152836 18.1504406690116))",United States,No information available,No information available,No information available,No information available,No information available,No information available,200
Cheat Mountain salamander,Plethodon nettingi,Amphibians,Threatened,Domestic,/docs/species_images/doc1752.jpg,https://ecos.fws.gov/docs/species_images/doc1752.jpg,"POLYGON((-80.3633059958714 38.0361103708878,-80.3633059958714 39.3278576186529,-78.9798893340627 39.3278576186529,-78.9798893340627 38.0361103708878,-80.3633059958714 38.0361103708878))",United States,No information available,No information available,No information available,No information available,No information available,No information available,200
